t [s],u [deg],y [deg],i [A],r (deg)
0.00215,-0.000432,0.020752,-0.000305,0
0.0022,-0.000381,0.002441,-0.002136,0
0.00225,-0.000242,0.001221,0.012207,0
0.0023,-0.000583,0.012207,-0.00351,0
0.00235,-0.000458,-0.009766,-0.027771,0
0.0024,0.000393,0.001221,-0.008392,0
0.00245,0.001155,0.001831,0.005798,0
0.0025,0.000955,-0.006714,-0.013733,0
0.00255,0.0003,0.006104,0.000458,0
0.0026,-0.000221,-0.00061,0.00061,0
0.00265,-0.000239,0.009766,-0.014496,0
0.0027,0.000515,-0.005493,-0.025635,0
0.00275,0.000473,0.001831,-0.009613,0
0.0028,-0.000385,0.001221,-0.0177,0
0.00285,-0.001002,-0.010986,-0.011597,0
0.0029,-0.001657,-0.004883,-0.016327,0
0.00295,-0.00177,0.004272,-0.016632,0
0.003,-0.000827,-0.013428,-0.009918,0
0.00305,-0.000095,-0.007935,-0.007324,0
0.0031,-0.000045,0.004272,-0.008545,0
0.00315,-0.000012,0.008545,-0.006256,0
0.0032,-0.000049,-0.009766,0.013885,0
0.00325,-0.000253,0.00061,-0.016937,0
0.0033,-0.000336,-0.005493,-0.024109,0
0.00335,-0.000221,0.001831,-0.013275,0
0.0034,-0.000065,0.006104,-0.00885,0
0.00345,-0.000127,0.001831,-0.007935,0
0.0035,-0.000242,-0.001831,0.001373,0
0.00355,-0.0004,0.006714,-0.011749,0
0.0036,-0.001223,-0.00061,-0.000305,0
0.00365,-0.002142,0.006714,-0.010834,0
0.0037,-0.002231,-0.010376,-0.025482,0
0.00375,-0.001833,-0.00061,-0.011444,0
0.0038,-0.001695,0.008545,0.006561,0
0.00385,-0.001812,0.009766,0.002899,0
0.0039,-0.001177,0.005493,-0.006866,0
0.00395,-0.000206,-0.008545,0.015564,0
0.004,-0.000126,0.013428,-0.010834,0
0.00405,-0.000395,0.002441,-0.005035,0
0.0041,-0.00031,0.006104,0.002899,0
0.00415,-0.000304,-0.003052,0.019989,0
0.0042,-0.000417,-0.005493,-0.017548,0
0.00425,-0.000494,0.006104,-0.013733,0
0.0043,-0.000489,0.001221,-0.009155,0
0.00435,0.000422,0.010376,0.003662,0
0.0044,0.001308,-0.003052,-0.016327,0
0.00445,0.000983,-0.001221,-0.010376,0
0.0045,0.000914,0.010376,0.000153,0
0.00455,0.001032,0.007935,-0.00824,0
0.0046,0.000403,0.003052,-0.005646,0
0.00465,0.000098,-0.003052,-0.01297,0
0.0047,0.000268,-0.004883,-0.010071,0
0.00475,0.000111,0.008545,-0.002747,0
0.0048,0.000245,0.004883,-0.001526,0
0.00485,0.000873,0,0.014038,0
0.0049,0.000869,0.018921,0.006714,0
0.00495,0.000393,0.010376,-0.012512,0
0.005,0.000126,0.004883,-0.016479,0
0.00505,0.000196,-0.007324,-0.009613,0.000002
0.0051,0.000304,0.009155,-0.005798,0.000006
0.00515,0.000294,0.00061,-0.00824,0.000016
0.0052,0.000359,-0.007935,0.00824,0.000037
0.00525,0.000353,0.014038,-0.022583,0.000075
0.0053,0.000979,-0.006714,-0.017242,0.000141
0.00535,0.002071,0.002441,0.012817,0.000243
0.0054,0.001652,0.012207,-0.019684,0.000394
0.00545,0.00028,-0.001831,-0.011444,0.000601
0.0055,-0.000371,0.012207,-0.011139,0.000864
0.00555,-0.00138,0.006104,0.003052,0.00117
0.0056,-0.003198,0.009766,-0.014191,0.001485
0.00565,-0.005178,0.006104,-0.04425,0.001745
0.0057,-0.008159,0.00061,-0.016785,0.001852
0.00575,-0.013207,-0.003662,-0.007782,0.001666
0.0058,-0.020253,0.00061,-0.010223,0.001007
0.00585,-0.028233,-0.001831,-0.024414,-0.000339
0.0059,-0.03626,-0.008545,-0.041656,-0.002606
0.00595,-0.044315,-0.012207,-0.014801,-0.006021
0.006,-0.052061,-0.014038,-0.022736,-0.010773
0.00605,-0.057772,-0.015259,-0.035706,-0.016958
0.0061,-0.060192,-0.020142,-0.00061,-0.024539
0.00615,-0.0588,-0.041504,-0.019226,-0.033281
0.0062,-0.051868,-0.043335,-0.009155,-0.042708
0.00625,-0.037736,-0.044556,0.026703,-0.05206
0.0063,-0.014981,-0.046997,0.068359,-0.060273
0.00635,0.01845,-0.060425,0.054016,-0.065988
0.0064,0.062934,-0.045166,0.08728,-0.067589
0.00645,0.118229,-0.041504,0.110474,-0.063283
0.0065,0.185925,-0.004883,0.155182,-0.051208
0.00655,0.265674,0,0.174561,-0.029582
0.0066,0.354175,0.026855,0.196533,0.003134
0.00665,0.44859,0.092773,0.187073,0.048056
0.0067,0.546018,0.150146,0.175629,0.10571
0.00675,0.641918,0.213013,0.157318,0.17589
0.0068,0.732434,0.291138,0.107117,0.25755
0.00685,0.814306,0.368042,0.074005,0.34878
0.0069,0.88287,0.438232,0.039673,0.44679
0.00695,0.935097,0.543213,-0.055542,0.54808
0.007,0.968958,0.635986,-0.118713,0.64855
0.00705,0.982504,0.725098,-0.14267,0.7438
0.0071,0.97512,0.806274,-0.218658,0.82933
0.00715,0.946863,0.872803,-0.283966,0.90094
0.0072,0.899991,0.910645,-0.310364,0.95497
0.00725,0.836603,0.92041,-0.321198,0.98859
0.0073,0.7585,0.942383,-0.331879,1
0.00735,0.669656,0.935059,-0.298462,0.98859
0.0074,0.575139,0.892334,-0.267639,0.95497
0.00745,0.479646,0.86853,-0.248108,0.90094
0.0075,0.38606,0.791016,-0.171814,0.82933
0.00755,0.297148,0.724487,-0.101624,0.7438
0.0076,0.216,0.653076,-0.106506,0.64855
0.00765,0.144853,0.548706,-0.009003,0.54808
0.0077,0.084425,0.46814,0.039978,0.44679
0.00775,0.034662,0.365601,0.087128,0.34878
0.0078,-0.004474,0.299683,0.127411,0.25755
0.00785,-0.033646,0.197754,0.163269,0.17589
0.0079,-0.052947,0.145264,0.162354,0.10571
0.00795,-0.063309,0.059204,0.171967,0.048056
0.008,-0.066197,0.041504,0.145721,0.003134
0.00805,-0.063369,-0.004272,0.150452,-0.029582
0.0081,-0.057785,-0.0354,0.123444,-0.051208
0.00815,-0.050739,-0.045166,0.070648,-0.063283
0.0082,-0.042513,-0.049438,0.059967,-0.067589
0.00825,-0.034123,-0.064087,0.053101,-0.065988
0.0083,-0.026484,-0.056152,0.0354,-0.060273
0.00835,-0.019636,-0.062866,0.00946,-0.05206
0.0084,-0.013508,-0.026855,-0.027313,-0.042708
0.00845,-0.008575,-0.028076,-0.018768,-0.033281
0.0085,-0.005004,-0.014038,-0.024719,-0.024539
0.00855,-0.002687,-0.018921,-0.011139,-0.016958
0.0086,-0.001516,-0.010376,-0.037079,-0.010773
0.00865,-0.000841,-0.009766,-0.048218,-0.006021
0.0087,-0.000556,0.004883,-0.036163,-0.002606
0.00875,-0.001226,-0.001831,-0.013275,-0.000339
0.0088,-0.002288,0.011597,-0.015564,0.001007
0.00885,-0.002581,0.004883,-0.014038,0.001666
0.0089,-0.001765,0.001831,-0.018921,0.001852
0.00895,-0.000808,-0.005493,-0.031281,0.001745
0.009,-0.000642,0.004883,0.018616,0.001485
0.00905,-0.001107,-0.005493,-0.006561,0.00117
0.0091,-0.00128,0.007324,-0.009918,0.000864
0.00915,-0.000768,0.012207,-0.00351,0.000601
0.0092,-0.001022,-0.00061,0.002594,0.000394
0.00925,-0.002029,0.001831,-0.013428,0.000243
0.0093,-0.002826,0.003662,-0.039368,0.000141
0.00935,-0.003832,0.007935,-0.006256,0.000075
0.0094,-0.004239,0.012207,-0.002747,0.000037
0.00945,-0.003354,0.004272,-0.032043,0.000016
0.0095,-0.002313,0.00061,-0.023804,0.000006
0.00955,-0.002,-0.001831,0.011444,0.000002
0.0096,-0.002183,0.001831,-0.00885,0
0.00965,-0.002796,0.003662,-0.015717,0
0.0097,-0.003325,-0.006104,-0.019531,0
0.00975,-0.003148,-0.00061,0.009918,0
0.0098,-0.003027,0.004272,-0.00473,0
0.00985,-0.003012,-0.002441,-0.01236,0
0.0099,-0.003126,-0.007935,-0.004578,0
0.00995,-0.003185,0.00061,-0.010223,0
0.01,-0.0029,-0.003052,-0.03006,0
0.01005,-0.002945,0.004272,-0.018921,0
0.0101,-0.00223,0.009155,0.003052,0
0.01015,-0.000916,-0.006104,-0.009918,0
0.0102,-0.000721,0.006104,-0.00824,0
0.01025,-0.0012,-0.001221,-0.011139,0
0.0103,-0.001506,-0.006714,-0.020294,0
0.01035,-0.000959,-0.002441,-0.013275,0
0.0104,-0.000174,0.013428,-0.014954,0
0.01045,-0.000637,-0.00061,-0.023651,0
0.0105,-0.001423,-0.002441,-0.020142,0
0.01055,-0.00123,-0.002441,-0.007019,0
0.0106,-0.000858,-0.001221,-0.02182,0
0.01065,-0.001139,0.003662,-0.006866,0
0.0107,-0.001138,0.007935,-0.01709,0
0.01075,-0.000868,0.010376,-0.023956,0
0.0108,-0.000463,0.00061,0.009003,0
0.01085,0.000669,0.004272,-0.009003,0
0.0109,0.001519,0,-0.029755,0
0.01095,0.001576,0.004883,0.003052,0
0.011,0.001158,-0.006714,-0.004883,0
0.01105,0.000867,0.004883,-0.005798,0
0.0111,0.000844,-0.003662,-0.025635,0
0.01115,0.000177,0.007935,-0.018768,0
0.0112,-0.000706,0.004272,-0.000763,0
0.01125,-0.001103,0.005493,-0.030823,0
0.0113,-0.001368,0.001221,-0.013428,0
0.01135,-0.001331,-0.003052,-0.017853,0
0.0114,-0.001191,0.008545,-0.018921,0
0.01145,-0.001677,0.003052,-0.006561,0
0.0115,-0.002639,-0.003052,-0.003052,0
0.01155,-0.003073,-0.002441,0.005493,0
0.0116,-0.002998,0.004272,-0.006409,0
0.01165,-0.002729,0.004883,-0.016479,0
0.0117,-0.001975,0.004883,-0.005035,0
0.01175,-0.001168,-0.001221,-0.003357,0
0.0118,-0.000548,0.007935,-0.001221,0
0.01185,-0.000005,-0.001221,-0.00824,0
0.0119,0.000021,-0.019531,-0.002747,0
0.01195,-0.000999,-0.003662,-0.028229,0
0.012,-0.002105,0.014648,-0.011597,0
0.01205,-0.002258,0.007324,-0.029297,0
0.0121,-0.002131,0.012207,-0.032959,0
0.01215,-0.002385,0.009766,0.001984,0
0.0122,-0.0024,-0.009766,-0.010834,0
0.01225,-0.002289,0.001831,-0.006714,0
0.0123,-0.002568,-0.004272,-0.025482,0
0.01235,-0.002608,-0.012817,-0.012054,0
0.0124,-0.00225,-0.001221,-0.018158,0
0.01245,-0.00185,-0.003662,0.00061,0
0.0125,-0.001996,-0.001221,-0.013885,0
0.01255,-0.00187,0.002441,-0.028992,0
0.0126,-0.000884,-0.004272,-0.025177,0
0.01265,-0.000531,-0.010376,-0.007477,0
0.0127,-0.000611,0.015259,-0.021057,0
0.01275,-0.000191,0.006714,-0.025482,0
0.0128,0.00044,-0.003662,-0.010071,0
0.01285,0.000462,0.009155,-0.012054,0
0.0129,-0.000117,0.003662,-0.005341,0
0.01295,0.000103,-0.004272,-0.035248,0
0.013,0.000047,-0.001221,-0.004883,0
0.01305,-0.001481,0.00061,-0.015106,0
0.0131,-0.002321,0.002441,-0.009918,0
0.01315,-0.002003,-0.011597,-0.02121,0
0.0132,-0.002105,0.009766,-0.007629,0
0.01325,-0.002775,0.002441,-0.016479,0
0.0133,-0.00276,-0.001831,-0.014343,0
0.01335,-0.001554,0.003052,-0.007477,0
0.0134,-0.000136,0.008545,-0.016327,0
0.01345,0.000932,0.001221,-0.013123,0
0.0135,0.001756,-0.008545,-0.000305,0
0.01355,0.001935,0.003662,0.01297,0
0.0136,0.001029,0.001831,0.013275,0
0.01365,-0.000526,0.014648,-0.008392,0
0.0137,-0.001754,0.006714,-0.023804,0
0.01375,-0.002138,0.010376,-0.014038,0
0.0138,-0.001941,-0.001831,-0.007172,0
0.01385,-0.001306,-0.006714,-0.012665,0
0.0139,-0.000797,0.009155,-0.027618,0
0.01395,-0.000682,-0.001221,0.006866,0
0.014,-0.000313,-0.009155,-0.011444,0
0.01405,0.000022,0.013428,-0.01236,0
0.0141,0.000127,0.00061,0.003815,0
0.01415,0.000443,0.004272,-0.003052,0
0.0142,0.000958,-0.005493,-0.016632,0
0.01425,0.001368,-0.001221,-0.017853,0
0.0143,0.001955,0.002441,-0.026703,0
0.01435,0.00304,0.00061,-0.000458,0
0.0144,0.004106,-0.007935,-0.000458,0
0.01445,0.004872,0.00061,-0.01709,0
0.0145,0.004938,-0.00061,-0.009003,0
0.01455,0.003862,0.002441,-0.016632,0
0.0146,0.00211,0.012817,-0.028229,0
