t [s],u [deg],y [deg],i [A],r (deg)
0.01395,-0.002264,-0.001221,-0.012665,0
0.014,-0.00127,-0.001831,-0.037231,0
0.01405,-0.000992,0.007935,-0.009613,0
0.0141,-0.000763,0.006714,0.001984,0
0.01415,-0.000154,-0.011597,-0.0177,0
0.0142,0.000756,0.003662,0.005341,0
0.01425,0.001864,-0.007324,-0.007172,0
0.0143,0.002551,-0.005493,0.027466,0
0.01435,0.003342,0.004272,-0.00061,0
0.0144,0.004685,0.002441,0.001526,0
0.01445,0.005477,0.023193,-0.0354,0
0.0145,0.005199,0.013428,-0.037231,0
0.01455,0.00489,0.001831,0.001526,0
0.0146,0.003814,0.007324,-0.035553,0
