t [s],u [deg],y [deg],i [A],Finished_late
0.008300,0.001217,-0.001831,-0.012207,0.000000
0.008350,0.000626,0.002441,-0.033112,0.000000
0.008400,0.000553,0.006714,-0.036469,0.000000
0.008450,0.001137,-0.013428,-0.016937,0.000000
0.008500,0.002043,0.003662,-0.006561,0.000000
0.008550,0.002733,0.003052,-0.003052,0.000000
0.008600,0.002840,0.001831,-0.000153,0.000000
0.008650,0.002369,-0.003052,-0.006561,0.000000
0.008700,0.001676,0.009766,-0.018005,0.000000
0.008750,0.001200,0.002441,-0.008240,0.000000
0.008800,0.001151,-0.003662,-0.022888,0.000000
0.008850,0.001432,-0.000610,-0.017548,0.000000
0.008900,0.001771,0.003662,-0.026550,0.000000
0.008950,0.001840,0.004272,-0.026703,0.000000
0.009000,0.001336,0.005493,0.002747,0.000000
0.009050,0.000070,0.005493,-0.001526,0.000000
0.009100,-0.001973,-0.004272,-0.002441,0.000000
0.009150,-0.004583,0.001831,-0.028229,0.000000
0.009200,-0.007303,0.003052,-0.026398,0.000000
0.009250,-0.009483,-0.002441,-0.003967,0.000000
0.009300,-0.010488,-0.002441,-0.010376,0.000000
0.009350,-0.010057,-0.009155,-0.008087,0.000000
0.009400,-0.008515,-0.006104,-0.023346,0.000000
0.009450,-0.006537,-0.003662,-0.011902,0.000000
0.009500,-0.004741,-0.024414,0.015717,0.000000
0.009550,-0.003416,0.004272,-0.002747,0.000000
0.009600,-0.002530,-0.008545,-0.006409,0.000000
0.009650,-0.001966,-0.003662,-0.009460,0.000000
0.009700,-0.001734,-0.004272,-0.010834,0.000000
0.009750,-0.001933,0.000610,-0.029297,0.000000
0.009800,-0.002578,-0.010986,-0.021973,0.000000
0.009850,-0.003474,-0.001221,-0.012970,0.000000
0.009900,-0.004320,0.010986,-0.009003,0.000000
0.009950,-0.004921,-0.004272,0.009155,0.000000
0.010000,-0.005194,0.001221,-0.014954,0.000000
0.010050,-0.005028,-0.007324,-0.010986,0.000000
0.010100,-0.004346,-0.009766,-0.016937,0.000000
0.010150,-0.003287,-0.006714,-0.024567,0.000000
0.010200,-0.002268,-0.003052,-0.010071,0.000000
0.010250,-0.001793,-0.005493,-0.001678,0.000000
0.010300,-0.002159,0.006104,-0.004272,0.000000
0.010350,-0.003217,0.001221,-0.004578,0.000000
0.010400,-0.004376,0.001831,-0.009918,0.000000
0.010450,-0.004919,-0.014648,-0.014191,0.000000
0.010500,-0.004433,-0.004883,-0.005798,0.000000
0.010550,-0.003024,0.003052,-0.012817,0.000000
0.010600,-0.001191,-0.011597,0.003052,0.000000
0.010650,0.000460,-0.002441,-0.018921,0.000000
0.010700,0.001447,-0.005493,0.006104,0.000000
0.010750,0.001590,-0.007935,-0.002289,0.000000
0.010800,0.001080,0.012817,0.001373,0.000000
0.010850,0.000374,-0.005493,-0.013123,0.000000
0.010900,-0.000069,-0.004883,-0.025177,0.000000
0.010950,-0.000030,-0.000610,-0.024567,0.000000
0.011000,0.000381,-0.000610,-0.007019,0.000000
0.011050,0.000810,0.006714,-0.009460,0.000000
0.011100,0.000878,-0.015869,-0.000763,0.000000
0.011150,0.000436,-0.003052,0.004578,0.000000
0.011200,-0.000331,-0.006104,-0.008698,0.000000
0.011250,-0.001039,-0.002441,-0.016785,0.000000
0.011300,-0.001337,-0.004883,-0.002594,0.000000
0.011350,-0.001063,0.006714,-0.008850,0.000000
0.011400,-0.000330,-0.006714,-0.010529,0.000000
0.011450,0.000515,0.006104,-0.020294,0.000000
0.011500,0.001088,0.009766,-0.001373,0.000000
0.011550,0.001141,-0.000610,0.010986,0.000000
0.011600,0.000636,0.008545,0.002441,0.000000
0.011650,-0.000308,0.003052,-0.025787,0.000000
0.011700,-0.001440,0.006104,-0.024872,0.000000
0.011750,-0.002395,-0.003662,-0.001221,0.000000
0.011800,-0.002806,0.004272,-0.028534,0.000000
0.011850,-0.002527,-0.008545,-0.008698,0.000000
0.011900,-0.001750,0.013428,-0.014038,0.000000
0.011950,-0.000864,-0.004883,-0.018311,0.000000
0.012000,-0.000174,-0.000610,0.009003,0.000000
0.012050,0.000223,0.007324,0.002899,0.000000
0.012100,0.000342,0.009766,-0.019073,0.000000
0.012150,0.000236,0.005493,-0.024719,0.000000
0.012200,-0.000007,-0.001831,-0.009003,0.000000
0.012250,-0.000271,0.004883,-0.005341,0.000000
0.012300,-0.000435,0.020752,-0.009613,0.000000
0.012350,-0.000458,0.010986,-0.029602,0.000000
0.012400,-0.000471,-0.004883,0.006866,0.000000
0.012450,-0.000674,-0.001221,0.003662,0.000000
0.012500,-0.001123,-0.003052,-0.013733,0.000000
0.012550,-0.001596,-0.004883,0.002594,0.000000
0.012600,-0.001696,-0.010376,0.001221,0.000000
0.012650,-0.001163,0.001221,0.007019,0.000000
0.012700,-0.000127,0.003662,-0.019836,0.000000
0.012750,0.000896,0.003052,-0.010986,0.000000
0.012800,0.001332,-0.007324,0.016937,0.000000
0.012850,0.000985,-0.001221,-0.006409,0.000000
0.012900,0.000195,-0.005493,-0.011597,0.000000
0.012950,-0.000432,0.006104,-0.030518,0.000000
0.013000,-0.000472,0.000610,0.006104,0.000000
0.013050,0.000091,0.001221,-0.001221,0.000000
0.013100,0.000992,0.012817,-0.016479,0.000000
0.013150,0.001912,0.009155,-0.015869,0.000000
0.013200,0.002602,0.010376,-0.003052,0.000000
0.013250,0.002932,-0.007935,-0.006866,0.000000
0.013300,0.002965,0.000000,-0.006561,0.000000
0.013350,0.002954,0.001831,-0.006714,0.000000
0.013400,0.003185,0.001221,-0.024567,0.000000
0.013450,0.003706,-0.005493,0.002136,0.000000
0.013500,0.004183,-0.007324,-0.017242,0.000000
0.013550,0.004103,0.010986,-0.011902,0.000000
0.013600,0.003155,0.002441,-0.021210,0.000000
0.013650,0.001419,-0.000610,-0.019989,0.000000
0.013700,-0.000715,0.010376,-0.000763,0.000000
0.013750,-0.002729,-0.000610,-0.013123,0.000000
0.013800,-0.004144,-0.001221,-0.022888,0.000000
0.013850,-0.004676,-0.006104,-0.013275,0.000000
0.013900,-0.004335,0.003662,-0.019379,0.000000
0.013950,-0.003410,-0.006104,-0.018158,0.000000
