t [s],u [deg],y [deg],i [A],Finished_late
0.012900,0.031048,-0.003662,-0.109406,0.000000
0.012950,0.026575,-0.003662,0.021057,0.000000
0.013000,-0.026937,-0.015869,0.106049,0.000000
0.013050,-0.069438,-0.012207,-0.040894,0.000000
0.013100,-0.043181,0.010376,-0.227203,0.000000
0.013150,0.036288,-0.001221,-0.186157,0.000000
0.013200,0.093425,-0.009766,0.101166,0.000000
0.013250,0.070986,-0.014648,0.339966,0.000000
0.013300,-0.013636,-0.026855,0.245209,0.000000
0.013350,-0.086266,0.010986,-0.156250,0.000000
0.013400,-0.083460,0.037231,-0.460663,0.000000
0.013450,-0.007633,0.046997,-0.377197,0.000000
0.013500,0.074602,0.023193,0.044861,0.000000
0.013550,0.090214,-0.008545,0.447998,0.000000
0.013600,0.027383,-0.040283,0.412140,0.000000
0.013650,-0.050134,-0.012817,0.017853,0.000000
0.013700,-0.064376,0.005493,-0.348358,0.000000
0.013750,-0.004689,0.029907,-0.409393,0.000000
0.013800,0.059484,0.015259,-0.101776,0.000000
0.013850,0.055512,0.000610,0.296631,0.000000
0.013900,-0.010048,-0.014648,0.328064,0.000000
0.013950,-0.060956,-0.008545,-0.004272,0.000000
0.014000,-0.042330,0.015259,-0.311890,0.000000
0.014050,0.017307,0.017090,-0.273285,0.000000
0.014100,0.046858,0.007324,0.045319,0.000000
0.014150,0.020753,-0.009155,0.307007,0.000000
0.014200,-0.016907,-0.025635,0.188599,0.000000
0.014250,-0.015902,-0.004272,-0.080566,0.000000
0.014300,0.016560,0.004883,-0.222321,0.000000
0.014350,0.031292,0.021362,-0.041351,0.000000
0.014400,0.003537,0.005493,0.100098,0.000000
0.014450,-0.037050,0.000610,0.098724,0.000000
0.014500,-0.044612,0.014038,-0.102844,0.000000
0.014550,-0.010528,0.007324,-0.182800,0.000000
0.014600,0.029348,0.009155,-0.045624,0.000000
0.014650,0.035090,-0.015869,0.161591,0.000000
0.014700,0.004270,-0.022583,0.199585,0.000000
0.014750,-0.026156,-0.019531,0.050659,0.000000
0.014800,-0.019229,-0.001221,-0.171509,0.000000
0.014850,0.019308,0.003662,-0.179291,0.000000
0.014900,0.042864,0.009766,0.002899,0.000000
0.014950,0.016877,0.011597,0.125580,0.000000
0.015000,-0.035019,-0.003052,0.089874,0.000000
0.015050,-0.054333,0.011597,-0.117950,0.000000
0.015100,-0.019950,0.017090,-0.245819,0.000000
0.015150,0.023534,0.004272,-0.094757,0.000000
0.015200,0.024218,0.000000,0.140839,0.000000
0.015250,-0.007896,-0.015869,0.196838,0.000000
0.015300,-0.017288,-0.005493,0.038147,0.000000
0.015350,0.015837,-0.004883,-0.131073,0.000000
0.015400,0.043527,-0.001221,-0.110474,0.000000
0.015450,0.015493,-0.000610,0.070190,0.000000
0.015500,-0.045522,0.003052,0.074158,0.000000
0.015550,-0.063027,0.010376,-0.116425,0.000000
0.015600,-0.001332,0.012817,-0.246429,0.000000
0.015650,0.082486,0.003052,-0.041351,0.000000
0.015700,0.095428,-0.018921,0.286407,0.000000
0.015750,0.010633,0.002441,0.376282,0.000000
0.015800,-0.099059,0.011597,0.022430,0.000000
0.015850,-0.131308,0.021973,-0.417786,0.000000
0.015900,-0.054058,0.020142,-0.504303,0.000000
0.015950,0.064350,0.012817,-0.120850,0.000000
0.016000,0.120271,-0.020142,0.421753,0.000000
0.016050,0.070012,-0.039062,0.628052,0.000000
0.016100,-0.033021,-0.037231,0.226593,0.000000
0.016150,-0.090824,-0.004272,-0.310974,0.000000
0.016200,-0.053404,0.025635,-0.546265,0.000000
0.016250,0.034444,0.031738,-0.336914,0.000000
0.016300,0.078748,0.013428,0.173492,0.000000
0.016350,0.033445,-0.013428,0.476227,0.000000
0.016400,-0.049873,-0.006714,0.192719,0.000000
0.016450,-0.077833,-0.015259,-0.212860,0.000000
0.016500,-0.020431,0.005493,-0.399017,0.000000
0.016550,0.055069,0.037231,-0.179291,0.000000
0.016600,0.064737,-0.011597,0.282745,0.000000
0.016650,0.006849,-0.022583,0.374298,0.000000
0.016700,-0.042693,-0.021973,0.073547,0.000000
0.016750,-0.029319,-0.005493,-0.278625,0.000000
0.016800,0.015809,0.032959,-0.303192,0.000000
0.016850,0.024796,0.023193,-0.048523,0.000000
0.016900,-0.015824,-0.008545,0.228729,0.000000
0.016950,-0.050974,-0.012207,0.125122,0.000000
