t (s),u (deg),y (deg)
0.019750,0.000000,-0.000610,-0.016785
0.019800,0.000000,0.010986,-0.024567
0.019850,0.000000,-0.001831,-0.017548
0.019900,0.000000,-0.004883,-0.001221
0.019950,0.000000,0.009766,-0.005646
0.020000,0.000000,-0.004272,-0.028687
0.020050,0.000000,-0.003662,-0.009308
0.020100,0.000000,0.005493,-0.014648
0.020150,0.000000,0.014648,-0.010376
0.020200,0.000000,-0.001831,0.001068
0.020250,0.000000,-0.001221,-0.029602
0.020300,0.000000,0.003662,-0.022583
0.020350,0.000000,-0.004883,-0.024261
0.020400,0.000000,0.006714,-0.002289
0.020450,0.000000,-0.001831,-0.003662
0.020500,0.000000,-0.006714,-0.007324
0.020550,0.000000,0.015259,-0.023956
0.020600,0.000000,0.000610,-0.006561
0.020650,0.000000,0.007935,0.008392
0.020700,0.000000,0.010986,-0.002747
0.020750,0.000000,0.015869,0.006104
0.020800,0.000000,0.017700,-0.018463
0.020850,0.000000,0.012817,-0.036926
0.020900,0.000000,-0.005493,-0.014496
0.020950,0.000000,0.014038,-0.019836
0.021000,0.000000,0.000610,-0.016785
0.021050,0.000000,0.004883,0.012512
0.021100,0.000000,-0.003052,-0.008240
0.021150,0.000000,0.007324,-0.010376
0.021200,0.000000,0.016479,-0.009460
0.021250,0.000000,0.001831,0.006256
0.021300,0.000000,-0.000610,-0.011902
0.021350,0.000000,-0.011597,0.001373
0.021400,0.000000,-0.000610,-0.019836
0.021450,0.000000,0.015869,-0.018921
0.021500,0.000000,-0.010986,-0.004578
0.021550,0.000000,0.007324,0.000916
0.021600,0.000000,0.000000,-0.012207
0.021650,0.000000,0.001831,-0.003052
0.021700,0.000000,0.002441,-0.012817
0.021750,0.000000,-0.012817,-0.001221
0.021800,0.000000,-0.003662,-0.014801
0.021850,0.000000,-0.003662,0.006256
0.021900,0.000000,0.009766,-0.020294
0.021950,0.000000,-0.008545,0.016632
0.022000,0.000000,0.002441,-0.007019
0.022050,0.000000,-0.002441,-0.006866
0.022100,0.000000,0.000000,0.000305
0.022150,0.000000,0.000000,-0.020142
0.022200,0.000000,0.004272,-0.025177
0.022250,0.000000,0.004883,-0.015411
0.022300,0.000000,0.009766,-0.025330
0.022350,0.000000,0.009155,-0.008240
0.022400,0.000000,-0.007324,-0.009460
0.022450,0.000000,-0.004272,-0.001678
0.022500,0.000000,-0.007324,-0.008087
0.022550,0.000000,0.007324,-0.044098
0.022600,0.000000,-0.012207,-0.012665
0.022650,0.000000,-0.000610,-0.010376
0.022700,0.000000,0.011597,-0.020905
0.022750,0.000000,-0.013428,-0.000916
0.022800,0.000000,-0.007935,-0.007782
0.022850,0.000000,-0.002441,-0.009460
0.022900,0.000000,0.003662,-0.017548
0.022950,0.000000,-0.007324,-0.024719
0.023000,0.000000,-0.007324,0.012970
0.023050,0.000000,0.003662,-0.003662
0.023100,0.000000,-0.010376,-0.011292
0.023150,0.000000,-0.008545,-0.005188
0.023200,0.000000,0.004883,0.000305
0.023250,0.000000,-0.006714,-0.019989
0.023300,0.000000,0.020752,-0.010376
0.023350,0.000000,0.002441,0.003052
0.023400,0.000000,-0.005493,-0.039673
0.023450,0.000000,0.005493,-0.019073
0.023500,0.000000,-0.004883,-0.022278
0.023550,0.000000,-0.001221,0.001221
0.023600,0.000000,0.007935,-0.026093
0.023650,0.000000,0.011597,-0.035400
0.023700,0.000000,0.000000,-0.025482
0.023750,0.000000,-0.003662,-0.007629
0.023800,0.000000,0.006104,-0.028687
0.023850,0.000000,-0.003052,-0.021973
0.023900,0.000000,-0.006104,-0.013580
0.023950,0.000000,0.009155,0.000610
0.024000,0.000000,-0.009155,-0.022278
0.024050,0.000000,-0.000610,-0.028687
0.024100,0.000000,0.017090,-0.017395
0.024150,0.000000,0.006104,-0.008240
0.024200,0.000000,0.014038,-0.012360
0.024250,0.000000,-0.003052,-0.023193
0.024300,0.000000,0.006104,-0.003662
0.024350,0.000000,0.007935,-0.006256
0.024400,0.000000,0.004883,0.006866
0.024450,0.000000,0.011597,-0.016022
0.024500,0.000000,0.000610,-0.006256
0.024550,0.000000,0.014648,-0.012360
0.024600,0.000000,0.003662,-0.012054
0.024650,0.000000,-0.003052,-0.001526
0.024700,0.000000,0.002441,-0.011444
0.024750,0.000000,0.013428,-0.003510
0.024800,0.000000,-0.009155,0.008087
0.024850,0.000000,-0.000610,-0.014343
0.024900,0.000000,0.002441,-0.018463
0.024950,0.000000,0.003662,-0.019684
0.025000,0.000000,-0.007324,-0.012360
0.025050,0.000000,-0.006714,-0.012512
0.025100,0.000000,0.007935,-0.000153
0.025150,0.000000,0.008545,-0.012970
0.025200,0.000000,0.000000,-0.006256
0.025250,0.000000,0.009766,-0.017090
0.025300,0.000000,0.007935,-0.029602
0.025350,0.000000,0.007324,-0.010071
0.025400,0.000000,0.001221,-0.010834
0.025450,0.000000,-0.001221,0.002899
0.025500,0.000000,0.006714,0.006714
0.025550,0.000000,0.007324,-0.025482
0.025600,0.000000,0.001831,-0.017700
0.025650,0.000000,0.001831,0.004730
0.025700,0.000000,0.010376,0.005035
0.025750,0.000000,0.008545,0.013580
0.025800,0.000000,-0.012207,0.001984
0.025850,0.000000,-0.010986,-0.007782
0.025900,0.000000,-0.000610,-0.024414
0.025950,0.000000,0.006104,-0.022125
0.026000,0.000000,-0.003662,0.011292
0.026050,0.000000,-0.004272,-0.013123
0.026100,0.000000,0.006714,-0.004120
0.026150,0.000000,-0.003662,-0.003052
0.026200,0.000000,-0.004272,0.001221
0.026250,0.000000,0.009766,-0.021057
0.026300,0.000000,0.007324,-0.001068
0.026350,0.000000,0.000000,-0.023804
0.026400,0.000000,0.004272,0.009613
0.026450,0.000000,0.010376,-0.000305
0.026500,0.000000,0.006714,-0.037231
0.026550,0.000000,0.012207,-0.013580
0.026600,0.000000,-0.001221,-0.009460
0.026650,0.000000,0.012817,-0.023499
0.026700,0.000000,-0.011597,-0.022736
0.026750,0.000000,0.006104,-0.003662
0.026800,0.000000,0.003052,0.014496
0.026850,0.000000,-0.007324,-0.023804
0.026900,0.000000,0.006714,-0.024872
0.026950,0.000000,0.010986,-0.012360
0.027000,0.000000,0.000000,-0.017700
0.027050,0.000000,-0.003052,-0.007935
0.027100,0.000000,-0.001831,0.002747
0.027150,0.000000,-0.006714,0.006714
0.027200,0.000000,0.001221,-0.009003
0.027250,0.000000,-0.001221,-0.014191
0.027300,0.000000,0.006104,-0.018921
0.027350,0.000000,-0.002441,-0.002747
0.027400,0.000000,0.013428,0.002594
0.027450,0.000000,0.010986,-0.027618
0.027500,0.000000,-0.000610,-0.028992
0.027550,0.000000,0.003052,0.001068
0.027600,0.000000,-0.000610,-0.012207
0.027650,0.000000,-0.006714,-0.034943
0.027700,0.000000,-0.009766,-0.005951
0.027750,0.000000,0.015869,0.009003
0.027800,0.000000,0.005493,-0.009766
0.027850,0.000000,0.001221,-0.019073
0.027900,0.000000,0.005493,-0.007782
0.027950,0.000000,-0.001831,0.009155
0.028000,0.000000,-0.006104,-0.026703
0.028050,0.000000,0.008545,-0.011139
0.028100,0.000000,-0.003662,0.006714
0.028150,0.000000,-0.015869,-0.019989
0.028200,0.000000,0.006714,-0.015259
0.028250,0.000000,-0.001831,-0.026855
0.028300,0.000000,0.003052,-0.014496
0.028350,0.000000,-0.003662,-0.029449
0.028400,0.000000,0.004272,-0.031281
